Filename,190301_ALB_P2R2G_homo_water.clklb,,,,,,,,,,,,,,,,,,,,,,,,
Start Day,1  01-03-19,,,,,,,,,,,,,,,,,,,,,,,,
End Day,24  24-03-19,,,,,,,,,,,,,,,,,,,,,,,,
Start Hr,0.00,,,,,,,,,,,,,,,,,,,,,,,,
Tau,24.00,,,,,,,,,,,,,,,,,,,,,,,,
Bin (mn),1.00,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,
Min / Day,1.000000,2.000000,3.000000,4.000000,5.000000,6.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,21.000000,22.000000,23.000000,24.000000,25.000000
69.00,NaN,28.00,71.00,72.00,48.00,35.00,57.00,84.00,77.00,112.00,69.00,18.00,33.00,46.00,40.00,27.00,0.00,102.00,68.00,119.00,63.00,63.00,71.00,67.00,67.00
70.00,NaN,9.00,60.00,38.00,42.00,123.00,59.00,94.00,73.00,68.00,74.00,16.00,127.00,78.00,16.00,70.00,2.00,82.00,32.00,72.00,37.00,52.00,81.00,12.00,34.00
71.00,NaN,11.00,50.00,123.00,37.00,86.00,83.00,60.00,97.00,67.00,40.00,13.00,93.00,65.00,10.00,46.00,0.00,64.00,81.00,49.00,17.00,43.00,80.00,4.00,93.00
72.00,NaN,0.00,24.00,68.00,45.00,75.00,44.00,10.00,28.00,66.00,132.00,2.00,0.00,10.00,3.00,151.00,0.00,43.00,86.00,64.00,116.00,109.00,96.00,12.00,81.00
73.00,NaN,12.00,70.00,56.00,18.00,85.00,45.00,22.00,89.00,35.00,72.00,0.00,148.00,19.00,50.00,83.00,10.00,116.00,77.00,34.00,19.00,102.00,39.00,4.00,52.00
74.00,NaN,0.00,72.00,60.00,31.00,40.00,60.00,33.00,91.00,109.00,81.00,0.00,79.00,0.00,79.00,80.00,0.00,89.00,90.00,79.00,11.00,114.00,130.00,11.00,134.00
75.00,NaN,64.00,27.00,34.00,2.00,136.00,88.00,39.00,84.00,69.00,87.00,2.00,93.00,0.00,15.00,69.00,0.00,42.00,48.00,23.00,42.00,63.00,88.00,21.00,83.00
76.00,NaN,63.00,80.00,111.00,11.00,88.00,68.00,14.00,91.00,63.00,38.00,4.00,70.00,12.00,1.00,36.00,11.00,59.00,134.00,58.00,60.00,38.00,70.00,64.00,86.00
77.00,NaN,24.00,59.00,69.00,8.00,78.00,15.00,6.00,42.00,67.00,123.00,4.00,27.00,9.00,2.00,105.00,0.00,32.00,52.00,18.00,75.00,79.00,78.00,108.00,90.00
78.00,NaN,113.00,46.00,60.00,0.00,75.00,139.00,40.00,62.00,45.00,68.00,3.00,92.00,58.00,33.00,73.00,3.00,98.00,54.00,29.00,75.00,34.00,39.00,26.00,43.00
79.00,NaN,56.00,50.00,79.00,9.00,43.00,97.00,31.00,44.00,115.00,71.00,0.00,76.00,14.00,48.00,64.00,0.00,58.00,61.00,102.00,43.00,31.00,136.00,117.00,71.00
80.00,NaN,68.00,11.00,30.00,7.00,125.00,92.00,37.00,63.00,67.00,62.00,7.00,90.00,2.00,22.00,78.00,0.00,80.00,33.00,53.00,114.00,4.00,80.00,40.00,60.00
81.00,NaN,78.00,93.00,111.00,3.00,75.00,41.00,34.00,41.00,32.00,46.00,7.00,46.00,10.00,37.00,46.00,0.00,78.00,64.00,93.00,82.00,0.00,88.00,65.00,91.00
82.00,NaN,30.00,58.00,56.00,2.00,65.00,40.00,14.00,16.00,65.00,113.00,4.00,46.00,17.00,6.00,116.00,0.00,33.00,47.00,73.00,72.00,12.00,104.00,70.00,76.00
83.00,NaN,109.00,30.00,74.00,3.00,83.00,132.00,50.00,75.00,36.00,81.00,21.00,97.00,4.00,11.00,73.00,99.00,129.00,64.00,57.00,68.00,25.00,30.00,4.00,50.00
84.00,NaN,65.00,19.00,80.00,63.00,40.00,79.00,74.00,73.00,115.00,64.00,0.00,64.00,1.00,17.00,88.00,49.00,86.00,69.00,105.00,41.00,2.00,128.00,19.00,133.00
85.00,NaN,41.00,11.00,33.00,51.00,122.00,0.00,0.00,71.00,73.00,79.00,14.00,48.00,0.00,45.00,74.00,18.00,75.00,49.00,77.00,116.00,2.00,77.00,2.00,74.00
86.00,NaN,64.00,16.00,101.00,38.00,81.00,52.00,115.00,74.00,71.00,37.00,4.00,54.00,15.00,71.00,42.00,5.00,81.00,143.00,81.00,87.00,36.00,84.00,0.00,83.00
